timestamp,symbol,price
2025-09-15T22:00:18.872578,AAPL,147.62
2025-09-15T22:00:18.883544,AAPL,148.36
2025-09-15T22:00:18.896085,AAPL,147.4
2025-09-15T22:00:18.908635,AAPL,148.53
2025-09-15T22:00:18.921187,AAPL,142.3
2025-09-15T22:00:18.933727,AAPL,144.11
2025-09-15T22:00:18.946325,AAPL,145.54
2025-09-15T22:00:18.958890,AAPL,144.99
2025-09-15T22:00:18.971431,AAPL,148.24
2025-09-15T22:00:18.983883,AAPL,148.17
2025-09-15T22:00:18.996446,AAPL,146.88
2025-09-15T22:00:19.009010,AAPL,151.88
2025-09-15T22:00:19.021598,AAPL,152.97
2025-09-15T22:00:19.034169,AAPL,145.27
2025-09-15T22:00:19.046735,AAPL,143.34
2025-09-15T22:00:19.059288,AAPL,146.34
2025-09-15T22:00:19.071790,AAPL,149.26
2025-09-15T22:00:19.084352,AAPL,146.29
2025-09-15T22:00:19.096951,AAPL,152.66
2025-09-15T22:00:19.110880,AAPL,147.78
2025-09-15T22:00:19.123530,AAPL,146.41
2025-09-15T22:00:19.135210,AAPL,150.24
2025-09-15T22:00:19.146548,AAPL,150.67
2025-09-15T22:00:19.159148,AAPL,154.88
2025-09-15T22:00:19.171468,AAPL,158.19
2025-09-15T22:00:19.184092,AAPL,157.33
2025-09-15T22:00:19.194887,AAPL,161.85
2025-09-15T22:00:19.207463,AAPL,164.26
2025-09-15T22:00:19.220084,AAPL,167.26
2025-09-15T22:00:19.231191,AAPL,168.7
2025-09-15T22:00:19.243876,AAPL,168.32
2025-09-15T22:00:19.257745,AAPL,172.21
2025-09-15T22:00:19.268310,AAPL,173.73
2025-09-15T22:00:19.280825,AAPL,172.27
2025-09-15T22:00:19.293403,AAPL,166.79
2025-09-15T22:00:19.305869,AAPL,166.98
2025-09-15T22:00:19.318454,AAPL,172.63
2025-09-15T22:00:19.330964,AAPL,173.99
2025-09-15T22:00:19.343628,AAPL,180.02
2025-09-15T22:00:19.357484,AAPL,178.57
2025-09-15T22:00:19.370155,AAPL,182.9
2025-09-15T22:00:19.381011,AAPL,181.36
2025-09-15T22:00:19.393653,AAPL,181.48
2025-09-15T22:00:19.404696,AAPL,184.2
2025-09-15T22:00:19.417310,AAPL,175.42
2025-09-15T22:00:19.428297,AAPL,180.2
2025-09-15T22:00:19.438434,AAPL,178.39
2025-09-15T22:00:19.451068,AAPL,178.63
2025-09-15T22:00:19.463692,AAPL,177.1
2025-09-15T22:00:19.476300,AAPL,179.95
2025-09-15T22:00:19.488936,AAPL,178.23
2025-09-15T22:00:19.501557,AAPL,180.32
2025-09-15T22:00:19.513873,AAPL,178.79
2025-09-15T22:00:19.526479,AAPL,177.09
2025-09-15T22:00:19.539086,AAPL,182.16
2025-09-15T22:00:19.551662,AAPL,178.62
2025-09-15T22:00:19.564236,AAPL,181.33
2025-09-15T22:00:19.576808,AAPL,183.22
2025-09-15T22:00:19.589394,AAPL,188.48
2025-09-15T22:00:19.601928,AAPL,188.59
2025-09-15T22:00:19.614460,AAPL,196.02
2025-09-15T22:00:19.626992,AAPL,197.44
2025-09-15T22:00:19.637266,AAPL,196.64
2025-09-15T22:00:19.649833,AAPL,196.72
2025-09-15T22:00:19.662389,AAPL,196.36
2025-09-15T22:00:19.674955,AAPL,194.63
2025-09-15T22:00:19.687537,AAPL,200.1
2025-09-15T22:00:19.699474,AAPL,201.36
2025-09-15T22:00:19.710144,AAPL,204.84
2025-09-15T22:00:19.722714,AAPL,200.02
2025-09-15T22:00:19.735300,AAPL,204.33
2025-09-15T22:00:19.745696,AAPL,205.06
2025-09-15T22:00:19.757250,AAPL,191.99
2025-09-15T22:00:19.769809,AAPL,196.58
2025-09-15T22:00:19.781146,AAPL,200.03
2025-09-15T22:00:19.793696,AAPL,197.2
2025-09-15T22:00:19.806263,AAPL,191.88
2025-09-15T22:00:19.817940,AAPL,193.93
2025-09-15T22:00:19.830510,AAPL,194.9
2025-09-15T22:00:19.843071,AAPL,197.2
2025-09-15T22:00:19.855617,AAPL,198.96
2025-09-15T22:00:19.868157,AAPL,204.44
2025-09-15T22:00:19.880716,AAPL,204.99
2025-09-15T22:00:19.893311,AAPL,210.08
2025-09-15T22:00:19.904939,AAPL,211.48
2025-09-15T22:00:19.915540,AAPL,208.68
2025-09-15T22:00:19.928100,AAPL,207.12
2025-09-15T22:00:19.940657,AAPL,209.9
2025-09-15T22:00:19.953257,AAPL,207.17
2025-09-15T22:00:19.964504,AAPL,212.81
2025-09-15T22:00:19.977106,AAPL,216.82
2025-09-15T22:00:19.989676,AAPL,222.48
2025-09-15T22:00:20.002226,AAPL,224.29
2025-09-15T22:00:20.014805,AAPL,223.19
2025-09-15T22:00:20.027416,AAPL,218.85
2025-09-15T22:00:20.040037,AAPL,217.52
2025-09-15T22:00:20.052798,AAPL,209.95
2025-09-15T22:00:20.065420,AAPL,218.05
2025-09-15T22:00:20.078004,AAPL,214.77
2025-09-15T22:00:20.090557,AAPL,217.92
2025-09-15T22:00:20.103116,AAPL,218.05
2025-09-15T22:00:20.113661,AAPL,223.61
2025-09-15T22:00:20.126207,AAPL,222.1
2025-09-15T22:00:20.138748,AAPL,230.92
2025-09-15T22:00:20.151295,AAPL,236.97
2025-09-15T22:00:20.163825,AAPL,234.42
2025-09-15T22:00:20.176362,AAPL,227.39
2025-09-15T22:00:20.188338,AAPL,231.71
2025-09-15T22:00:20.200900,AAPL,232.73
2025-09-15T22:00:20.213456,AAPL,227.18
2025-09-15T22:00:20.226018,AAPL,224.43
2025-09-15T22:00:20.238572,AAPL,223.58
2025-09-15T22:00:20.251136,AAPL,217.1
2025-09-15T22:00:20.263726,AAPL,218.51
2025-09-15T22:00:20.276293,AAPL,222.62
2025-09-15T22:00:20.288845,AAPL,218.68
2025-09-15T22:00:20.301435,AAPL,218.32
2025-09-15T22:00:20.313447,AAPL,219.73
2025-09-15T22:00:20.326098,AAPL,218.78
2025-09-15T22:00:20.338762,AAPL,218.82
2025-09-15T22:00:20.351292,AAPL,221.74
2025-09-15T22:00:20.363916,AAPL,225.72
2025-09-15T22:00:20.376572,AAPL,222.98
2025-09-15T22:00:20.388711,AAPL,220.09
2025-09-15T22:00:20.401347,AAPL,215.84
2025-09-15T22:00:20.413963,AAPL,224.49
2025-09-15T22:00:20.426585,AAPL,218.11
2025-09-15T22:00:20.438990,AAPL,225.03
2025-09-15T22:00:20.451650,AAPL,228.09
2025-09-15T22:00:20.462435,AAPL,228.06
2025-09-15T22:00:20.475037,AAPL,228.53
2025-09-15T22:00:20.487612,AAPL,231.86
2025-09-15T22:00:20.500228,AAPL,230.34
2025-09-15T22:00:20.513485,AAPL,234.03
2025-09-15T22:00:20.525558,AAPL,238.09
2025-09-15T22:00:20.537398,AAPL,235.21
2025-09-15T22:00:20.547848,AAPL,236.06
2025-09-15T22:00:20.560427,AAPL,237.99
2025-09-15T22:00:20.572368,AAPL,236.29
2025-09-15T22:00:20.582930,AAPL,229.76
2025-09-15T22:00:20.594370,AAPL,223.18
2025-09-15T22:00:20.606389,AAPL,222.99
2025-09-15T22:00:20.616594,AAPL,224.78
2025-09-15T22:00:20.628110,AAPL,225.4
2025-09-15T22:00:20.640873,AAPL,229.72
2025-09-15T22:00:20.653541,AAPL,228.94
2025-09-15T22:00:20.666177,AAPL,231.16
2025-09-15T22:00:20.677944,AAPL,230.5
2025-09-15T22:00:20.690547,AAPL,236.49
2025-09-15T22:00:20.701141,AAPL,232.11
2025-09-15T22:00:20.713548,AAPL,234.75
2025-09-15T22:00:20.725260,AAPL,245.17
2025-09-15T22:00:20.737880,AAPL,235.96
2025-09-15T22:00:20.748316,AAPL,228.52
2025-09-15T22:00:20.761698,AAPL,232.58
2025-09-15T22:00:20.774312,AAPL,240.52
2025-09-15T22:00:20.785494,AAPL,237.84
2025-09-15T22:00:20.797932,AAPL,239.45
2025-09-15T22:00:20.810523,AAPL,244.86
2025-09-15T22:00:20.822106,AAPL,245.71
2025-09-15T22:00:20.832901,AAPL,242.53
2025-09-15T22:00:20.843887,AAPL,250.28
2025-09-15T22:00:20.855304,AAPL,252.48
